Exercise,Climbing,Sweets,EatingOut,Coffee,Tea,Water,DayRating,HoursSleep,Sunny,Rain,Temperature,Weight,WeekSin,WeekCos,Label
50.0,0,0,0,5,1,1.3,1,6.0,1,0,23,75.2,0.974927912181826,-0.22252093395630432,75.1
50.0,0,0,0,4,2,1.1,-1,7.5,0,1,13,75.1,0.43388373911756106,-0.9009688679024177,75.3
50.0,0,0,0,3,0,1.3,0,7.0,1,0,14,75.3,-0.4338837391175615,-0.9009688679024175,75.0
0.0,1,2,0,5,1,1.6,1,6.0,1,0,19,75.0,-0.9749279121818228,-0.22252093395631767,75.5
0.0,0,0,0,3,1,1.2,1,8.5,1,0,23,75.5,-0.7818314824680364,0.6234898018587254,75.9
55.0,0,0,1,4,0,1.2,0,7.0,0,0,22,75.9,-3.429011037612589e-15,1.0,75.8
55.0,0,0,0,4,1,1.1,0,7.0,0,0,19,75.8,0.781831482468032,0.6234898018587307,75.8
45.0,0,0,0,4,0,1.5,0,8.0,1,0,19,75.8,0.9749279121818244,-0.222520933956311,75.3
55.0,0,0,0,4,1,1.6,-1,6.0,0,0,20,75.3,0.4338837391175677,-0.9009688679024145,74.6
55.0,0,0,1,5,0,1.5,0,7.0,1,0,17,74.6,-0.4338837391175549,-0.9009688679024207,75.9
0.0,0,0,2,4,0,1.0,0,9.0,1,0,20,75.9,-0.9749279121818244,-0.22252093395631098,76.5
0.0,0,0,1,4,1,0.7,0,7.0,0,0,21,76.5,-0.781831482468032,0.6234898018587307,76.9
0.0,0,0,0,4,1,0.9,0,8.0,-1,1,16,76.9,-1.0779367755043061e-14,1.0,75.7
50.0,0,0,0,4,1,1.3,-1,7.5,1,0,20,75.7,0.7818314824680275,0.6234898018587365,74.7
55.0,0,0,0,4,1,1.8,-1,7.5,1,0,22,74.7,0.9749279121818228,-0.22252093395631767,74.5
55.0,0,0,0,5,1,1.1,-1,7.5,1,0,24,74.5,0.4338837391175615,-0.9009688679024175,74.7
55.0,0,1,0,4,0,2.0,1,7.0,1,0,27,74.7,-0.4338837391175483,-0.9009688679024238,74.9
0.0,0,1,1,3,1,1.3,1,6.5,1,0,24,74.9,-0.9749279121818227,-0.22252093395631817,75.2
0.0,0,0,0,4,1,1.5,0,9.0,1,0,28,75.2,-0.7818314824680278,0.623489801858736,75.7
55.0,0,0,0,4,1,1.3,0,7.0,-1,0,23,75.7,-3.91886975727153e-15,1.0,75.1
55.0,0,0,0,4,1,1.3,0,7.0,1,0,22,75.1,0.7818314824680229,0.6234898018587421,74.3
55.0,0,0,0,4,0,2.1,0,7.0,1,0,24,74.3,0.9749279121818245,-0.2225209339563105,74.6
0.0,0,0,0,4,0,1.5,0,6.333333333,-1,1,14,74.6,0.43388373911755534,-0.9009688679024205,75.5
0.0,0,0,0,4,1,1.3,0,6.333333333,1,0,22,75.5,-0.43388373911755446,-0.9009688679024209,75.0
55.0,0,0,1,4,0,1.9,1,8.583333332999999,1,0,24,75.0,-0.9749279121818211,-0.22252093395632533,75.5
0.0,0,1,0,3,1,1.3,0,7.0,1,0,27,75.5,-0.7818314824680324,0.6234898018587303,75.4
55.0,0,1,0,5,2,1.4,-1,7.0,0,1,19,75.4,2.941628240500001e-15,1.0,76.0
55.0,0,1,0,4,1,1.1,0,8.5,0,0,16,76.0,0.7818314824680273,0.6234898018587368,74.9
55.0,1,0,1,4,0,2.2,-1,7.0,-1,0,19,74.9,0.9749279121818262,-0.22252093395630335,75.0
35.0,0,0,0,5,1,1.9,-1,6.0,0,0,18,75.0,0.43388373911756195,-0.9009688679024173,74.9
0.0,0,1,0,5,1,1.3,-1,6.5,-1,0,20,74.9,-0.4338837391175606,-0.9009688679024179,74.8
0.0,0,2,2,4,2,1.0,1,8.5,1,0,23,74.8,-0.9749279121818226,-0.22252093395631864,75.4
0.0,0,0,1,3,1,1.3,0,9.5,1,0,22,75.4,-0.7818314824680369,0.6234898018587246,75.6
55.0,0,0,0,3,1,1.2,0,6.5,1,0,23,75.6,-4.408728476930472e-15,1.0,75.0
55.0,0,0,0,4,1,1.4,0,7.0,1,0,23,75.0,0.7818314824680315,0.6234898018587315,74.8
55.0,0,0,1,5,1,1.5,0,7.0,1,1,22,74.8,0.9749279121818246,-0.22252093395631004,75.4
0.0,0,0,0,4,1,2.0,1,7.75,0,1,22,75.4,0.4338837391175686,-0.900968867902414,75.7
0.0,0,1,1,4,0,2.0,1,7.0,0,0,21,75.7,-0.433883739117554,-0.9009688679024211,76.9
0.0,0,0,2,5,0,1.0,1,6.75,1,0,23,76.9,-0.9749279121818242,-0.22252093395631195,
0.0,0,2,3,3,0,1.2,1,7.5,-1,1,13,,-0.7818314824680327,0.6234898018587299,
0.0,0,1,1,4,0,1.0,0,7.0,0,0,18,,-1.1759085194360944e-14,1.0,
0.0,1,0,1,4,1,1.4,0,9.0,1,0,23,,0.7818314824680269,0.6234898018587371,
0.0,1,0,1,3,0,1.0,0,8.0,1,0,22,,0.9749279121818231,-0.22252093395631672,
0.0,0,2,2,4,1,2.0,1,7.0,1,0,22,,0.4338837391175624,-0.900968867902417,
0.0,1,1,1,6,0,1.2,0,8.5,-1,0,18,,-0.4338837391175474,-0.9009688679024243,
0.0,0,1,0,4,1,1.0,0,7.5,1,1,21,,-0.9749279121818225,-0.2225209339563191,77.2
0.0,0,1,2,3,3,1.0,0,8.0,0,0,20,77.2,-0.7818314824680284,0.6234898018587353,76.9
0.0,0,2,1,3,2,1.4,1,8.5,1,1,24,76.9,-4.898587196589413e-15,1.0,76.8
55.0,0,1,0,4,1,1.3,0,6.0,1,1,24,76.8,0.7818314824680224,0.6234898018587429,76.1
55.0,0,0,0,4,1,1.1,0,6.5,0,1,23,76.1,0.9749279121818247,-0.22252093395630956,76.4
35.0,0,0,1,3,1,1.9,0,7.0,-1,1,21,76.4,0.43388373911755623,-0.90096886790242,76.5
0.0,0,0,0,4,1,1.3,0,7.0,1,0,24,76.5,-0.43388373911755357,-0.9009688679024214,76.2
0.0,0,2,2,6,0,1.4,0,6.5,1,0,27,76.2,-0.9749279121818208,-0.22252093395632627,76.8
0.0,0,0,0,3,2,1.1,0,8.0,0,0,24,76.8,-0.7818314824680419,0.6234898018587184,76.5
50.0,0,0,0,4,1,1.1,-1,7.0,1,0,29,76.5,1.9619108011821185e-15,1.0,76.4
55.0,0,0,0,4,1,1.5,0,8.0,0,0,27,76.4,0.7818314824680266,0.6234898018587376,76.2
55.0,0,0,0,4,0,1.3,1,7.5,1,0,26,76.2,0.9749279121818264,-0.2225209339563024,75.9
60.0,0,0,1,3,1,2.5,0,7.0,1,1,28,75.9,0.43388373911755007,-0.900968867902423,76.6
45.0,0,0,0,4,1,1.1,0,6.5,0,0,23,76.6,-0.4338837391175598,-0.9009688679024184,76.2
0.0,0,1,2,4,1,1.7,1,8.0,1,0,25,76.2,-0.9749279121818224,-0.22252093395631958,77.0
0.0,0,1,0,6,1,2.2,0,6.5,1,0,27,77.0,-0.7818314824680376,0.6234898018587238,77.5
45.0,0,0,0,4,1,1.1,0,7.0,1,0,28,77.5,-1.9599300631450357e-14,1.0,76.9
55.0,0,0,0,5,1,1.3,0,7.0,1,0,28,76.9,0.7818314824680308,0.6234898018587323,76.5
0.0,0,2,1,5,1,0.9,1,8.0,1,0,28,76.5,0.9749279121818248,-0.2225209339563091,77.2
55.0,0,0,0,4,0,1.9,0,6.5,-1,1,26,77.2,0.43388373911756944,-0.9009688679024137,76.5
0.0,0,1,0,5,0,1.0,0,5.25,-1,1,26,76.5,-0.43388373911756595,-0.9009688679024154,76.2
0.0,0,1,0,5,1,1.3,0,6.666666667,1,1,27,76.2,-0.974927912181824,-0.2225209339563129,75.7
0.0,0,1,1,3,1,1.0,0,9.0,1,0,28,75.7,-0.7818314824680334,0.6234898018587292,76.7
55.0,0,0,0,3,0,1.1,0,6.5,0,1,30,76.7,-1.2738802633678827e-14,1.0,76.1
0.0,0,0,0,4,0,1.1,1,7.5,-1,1,26,76.1,0.7818314824680174,0.623489801858749,75.8
50.0,0,0,1,4,1,1.1,0,6.0,-1,1,16,75.8,0.9749279121818233,-0.22252093395631578,76.3
0.0,0,0,0,4,1,1.3,0,6.5,-1,0,21,76.3,0.4338837391175633,-0.9009688679024166,75.9
0.0,0,0,0,4,1,1.5,0,7.0,1,0,22,75.9,-0.4338837391175465,-0.9009688679024247,75.9
0.0,0,1,1,3,3,1.5,-1,8.0,1,0,24,75.9,-0.9749279121818255,-0.2225209339563062,76.5
0.0,0,0,0,3,1,1.4,-1,8.0,1,1,23,76.5,-0.781831482468029,0.6234898018587345,76.7
55.0,0,0,0,4,3,1.5,-1,6.5,-1,0,22,76.7,-5.878304635907295e-15,1.0,76.4
0.0,0,0,0,3,1,1.6,0,7.5,0,0,24,76.4,0.7818314824680217,0.6234898018587437,75.8
55.0,0,1,1,4,1,1.0,0,6.5,1,0,27,75.8,0.9749279121818281,-0.22252093395629474,76.1
55.0,0,0,0,5,0,1.3,0,6.5,0,1,27,76.1,0.4338837391175571,-0.9009688679024196,75.5
0.0,0,1,0,4,2,1.1,0,7.0,0,0,16,75.5,-0.4338837391175527,-0.9009688679024217,75.5
65.0,0,0,1,5,0,2.1,1,8.0,0,0,18,75.5,-0.9749279121818207,-0.22252093395632724,76.2
0.0,0,2,1,3,2,1.1,0,7.5,1,0,19,76.2,-0.7818314824680248,0.6234898018587399,77.6
55.0,0,0,1,4,2,1.1,0,6.5,-1,1,19,77.6,9.82193361864236e-16,1.0,76.5
55.0,0,0,0,5,2,1.1,-1,7.0,-1,0,22,76.5,0.7818314824680259,0.6234898018587384,75.5
0.0,0,1,0,5,0,1.5,0,8.5,0,0,21,75.5,0.9749279121818266,-0.22252093395630143,
0.0,0,1,1,4,0,1.0,1,8.75,0,0,26,,0.43388373911757655,-0.9009688679024103,
0.0,0,1,1,3,1,0.9,0,8.5,1,0,30,,-0.4338837391175589,-0.9009688679024188,
0.0,0,1,0,3,1,1.0,0,9.333333332999999,-1,0,17,,-0.9749279121818222,-0.22252093395632055,
0.0,0,1,1,5,0,0.5,0,7.5,-1,1,15,,-0.7818314824680382,0.623489801858723,
0.0,0,1,1,7,1,1.2,0,6.0,0,1,20,,7.842691359635767e-15,1.0,77.3
0.0,0,1,1,4,1,1.2,0,7.5,-1,0,26,77.3,0.7818314824680302,0.6234898018587329,76.8
0.0,0,0,1,4,2,1.3,-1,7.5,0,0,26,76.8,0.9749279121818251,-0.22252093395630812,76.1
0.0,0,0,0,4,1,1.1,0,6.0,-1,0,28,76.1,0.43388373911757033,-0.9009688679024133,75.5
0.0,0,0,1,3,1,1.9,0,7.0,-1,1,20,75.5,-0.43388373911753947,-0.9009688679024281,76.4
0.0,0,1,0,5,1,1.2,0,5.166666667,1,0,24,76.4,-0.9749279121818237,-0.22252093395631387,76.5
0.0,0,0,0,3,1,1.3,0,8.416666667000001,1,0,25,76.5,-0.7818314824680339,0.6234898018587284,76.3
50.0,0,0,1,4,0,1.7,1,6.5,1,0,25,76.3,-1.371852007299671e-14,1.0,76.2
45.0,0,0,1,4,1,1.5,0,7.0,-1,1,22,76.2,0.7818314824680345,0.6234898018587276,75.6
45.0,0,0,0,4,1,1.6,0,6.5,-1,0,20,75.6,0.9749279121818235,-0.2225209339563148,75.4
45.0,0,0,1,4,1,1.9,0,7.0,0,0,23,75.4,0.43388373911756417,-0.9009688679024163,75.4
55.0,0,0,1,4,1,1.8,0,7.0,1,0,26,75.4,-0.43388373911754563,-0.9009688679024251,75.2
0.0,0,2,1,3,1,1.3,0,8.5,1,0,27,75.2,-0.974927912181819,-0.22252093395633488,75.5
0.0,0,0,0,3,1,1.9,0,8.0,0,1,29,75.5,-0.7818314824680296,0.6234898018587337,75.7
35.0,0,1,1,4,1,2.0,0,7.0,0,1,25,75.7,-6.858022075225178e-15,1.0,75.9
45.0,0,0,1,4,2,2.1,0,7.0,1,1,26,75.9,0.781831482468021,0.6234898018587445,75.4
35.0,0,0,0,4,2,1.3,-1,6.5,1,0,27,75.4,0.974927912181822,-0.2225209339563215,75.1
55.0,0,0,1,4,0,2.0,0,7.5,1,0,27,75.1,0.433883739117558,-0.9009688679024191,75.0
40.0,0,0,0,3,1,1.8,0,6.5,1,0,29,75.0,-0.4338837391175518,-0.9009688679024221,75.0
0.0,0,2,0,5,1,1.5,1,6.916666667,-1,1,21,75.0,-0.9749279121818205,-0.2225209339563282,75.1
0.0,0,0,0,4,1,1.3,-1,10.0,-1,1,19,75.1,-0.781831482468043,0.6234898018587169,75.1
55.0,0,0,0,4,1,1.5,0,7.0,-1,1,23,75.1,2.475922546353431e-18,1.0,74.4
55.0,0,1,0,4,1,2.2,1,7.0,1,0,28,74.4,0.7818314824680254,0.6234898018587391,74.7
55.0,0,0,0,3,1,2.3,0,7.5,1,0,28,74.7,0.9749279121818267,-0.2225209339563005,75.1
50.0,0,0,1,3,1,2.6,0,6.5,1,0,28,75.1,0.4338837391175518,-0.9009688679024221,75.6
0.0,0,0,0,3,0,1.9,0,7.0,1,0,29,75.6,-0.433883739117558,-0.9009688679024191,75.1
0.0,0,1,1,5,0,1.5,0,7.5,1,1,30,75.1,-0.974927912181822,-0.2225209339563215,76.2
0.0,0,1,1,4,1,1.8,1,8.0,1,0,29,76.2,-0.7818314824680388,0.6234898018587223,76.3
0.0,0,1,1,4,0,2.4,0,7.5,1,0,32,76.3,-2.1558735510086122e-14,1.0,75.8
50.0,0,0,0,3,1,2.2,0,7.0,1,0,33,75.8,0.7818314824680297,0.6234898018587337,75.2
0.0,0,0,0,5,1,1.6,0,7.0,1,0,33,75.2,0.9749279121818253,-0.22252093395630718,75.1
35.0,0,0,1,4,0,2.0,0,7.0,1,0,31,75.1,0.4338837391175712,-0.9009688679024128,75.4
0.0,0,1,0,3,0,3.2,1,6.5,1,0,32,75.4,-0.43388373911756417,-0.9009688679024163,76.3
0.0,0,1,1,3,0,2.1,0,7.5,1,0,33,76.3,-0.9749279121818235,-0.2225209339563148,76.1
0.0,1,1,2,2,0,2.7,1,8.333333332999999,1,0,31,76.1,-0.7818314824680345,0.6234898018587276,75.7
0.0,0,0,0,3,2,2.0,0,6.0,1,0,32,75.7,-1.469823751231459e-14,1.0,75.1
0.0,0,0,0,3,1,2.0,0,7.5,0,1,32,75.1,0.7818314824680161,0.6234898018587506,75.3
0.0,0,0,2,4,2,1.9,1,7.5,1,0,29,75.3,0.9749279121818237,-0.22252093395631387,75.8
0.0,0,2,1,5,0,2.3,1,6.5,1,1,34,75.8,0.43388373911756506,-0.9009688679024158,75.8
0.0,0,0,1,5,0,1.7,0,6.5,-1,1,21,75.8,-0.43388373911754474,-0.9009688679024256,
0.0,0,1,3,4,1,2.1,0,6.5,1,0,28,,-0.9749279121818251,-0.22252093395630812,
0.0,0,1,2,4,1,1.5,0,8.0,1,0,28,,-0.7818314824680302,0.6234898018587329,76.6
0.0,1,0,1,4,1,2.7,0,7.5,0,1,31,76.6,-7.83773951454306e-15,1.0,76.4
0.0,0,0,0,4,2,1.6,0,7.5,0,0,22,76.4,0.7818314824680205,0.6234898018587453,75.6
0.0,0,0,0,3,0,1.7,1,7.0,1,0,28,75.6,0.9749279121818285,-0.22252093395629283,76.2
0.0,1,0,1,4,0,2.7,0,7.5,1,0,28,76.2,0.4338837391175589,-0.9009688679024188,76.2
0.0,0,1,2,6,1,2.0,0,6.5,1,0,29,76.2,-0.43388373911755096,-0.9009688679024226,75.8
0.0,0,0,0,4,0,1.4,1,8.333333332999999,1,0,28,75.8,-0.9749279121818203,-0.22252093395632913,75.7
0.0,0,1,0,4,0,1.9,0,6.5,1,0,29,75.7,-0.7818314824680259,0.6234898018587384,75.8
0.0,0,0,0,4,0,1.7,0,7.5,1,0,29,75.8,-9.772415167715292e-16,1.0,74.7
0.0,0,0,1,4,0,2.4,1,7.0,1,0,29,74.7,0.7818314824680248,0.6234898018587399,75.4
0.0,0,1,1,6,1,1.3,0,6.0,1,1,31,75.4,0.974927912181827,-0.22252093395629952,
0.0,0,1,0,4,1,1.2,0,8.5,-1,1,18,,0.4338837391175783,-0.9009688679024094,
0.0,0,1,2,6,1,2.0,0,8.0,0,1,15,,-0.4338837391175571,-0.9009688679024196,
0.0,0,1,2,5,0,1.0,0,7.166666667,0,1,17,,-0.9749279121818217,-0.22252093395632244,
0.0,0,0,1,4,1,0.8,0,7.0,-1,1,13,,-0.7818314824680395,0.6234898018587215,
0.0,0,1,0,5,1,1.3,0,6.0,1,0,24,,5.883256481000002e-15,1.0,77.3
0.0,0,1,2,6,1,1.5,0,7.0,1,0,33,77.3,0.781831482468029,0.6234898018587345,
0.0,0,2,2,4,1,1.1,0,8.0,1,0,36,,0.9749279121818255,-0.2225209339563062,
0.0,0,2,2,4,1,1.4,1,9.0,1,0,32,,0.4338837391175721,-0.9009688679024124,
0.0,0,1,1,4,0,1.6,0,7.0,1,0,36,,-0.4338837391175377,-0.9009688679024289,
0.0,0,1,1,3,0,1.4,1,6.0,1,0,37,,-0.9749279121818233,-0.22252093395631575,
